parid	luc	luc_desc	own1	geom
3395409	1100	Stores, One Story	7-ELEVEN INC	0106000020BC080000010000000103000000010000000E000000A01804160CEE234140DF4FF5321B3B41A06E1243FDEC2341804160A5311B3B4180EB51B8F6EC234120583974381B3B416039B448EFEC234120583934401B3B416039B408C9EC2341205839F4671B3B41C0749318C0EC234140E17A34711B3B4140B4C8F6B1EC2341806ABCD47F1B3B41608FC275C1EC23414060E530821B3B4100560EADE8EC234160E7FB29881B3B41E022DB39A7ED2341603BDF2FA51B3B4120B072A8BFED234140DF4FD5891B3B41A0EFA756C1ED234160BC74F3871B3B41A045B633CCED2341405EBAC97B1B3B41A01804160CEE234140DF4FF5321B3B41
2234971	1100	Stores, One Story	MAS FOOD MART INC	0106000020BC0800000100000001030000000100000005000000E0A59B041D6121412031080C300A3A4100AAF1921360214160BA490C7E0A3A41C020B0F21160214160BA490C990A3A41E0CEF7130A612141A0438B4C9D0A3A41E0A59B041D6121412031080C300A3A41
3246233	1100	Stores, One Story	7-ELEVEN INC	0106000020BC08000001000000010300000001000000090000006091ED7C94482341E0F97EAA90ED3A41A0438B2C4A482341A0703DAA54ED3A414008AC5C49482341A0703D0A54ED3A414008AC1C2B482341A0703D6A37ED3A41C0F5285C97462341A0703DEA8EED3A4160BA490C0F472341E0F97E4AE0ED3A4160BA498C1E4723412083C0CAEAED3A41A0438B6CCB472341E0F97E2AC1ED3A416091ED7C94482341E0F97EAA90ED3A41
4895281	1100	Stores, One Story	7-ELEVEN INC	0106000020BC0800000100000001030000000100000007000000803F35DE823E234120B29DEF66DF3A41002DB21DEC3D234100295C8F36DF3A41E0A370BDBB3D2341C09F1A8F16DF3A41A0F1D24DDC3C2341C09F1AEF4BDF3A4140B6F33DAA3D2341A0C420F02CE03A41A0F1D24DC63D2341A0C420702EE03A41803F35DE823E234120B29DEF66DF3A41
2470381	1100	Stores, One Story	FLORIDAS CITRUS WORLD INC	0106000020BC0800000100000001030000000100000012000000400C026B14C2224100295C1749BD3B412083C00AF3C1224100295C7735BD3B41A047E1FAB7C1224100295C174FBD3B4180BE9F2A72C12241E04F8D976DBD3B4160E7FBE942C12241E04F8D1782BD3B4160E7FBE943C1224120D9CE379FBD3B4100AC1CDA44C1224120D9CE17B5BD3B4160E7FBE946C12241406210D8F2BD3B4100D578A949C1224180EB51983EBE3B41405EBAC94AC1224180EB51785CBE3B41A099991967C1224180EB517850BE3B41A0703DCAB1C1224180EB519831BE3B41A0703D8A01C2224180EB51B810BE3B4180BE9F9A4FC22241406210D8F0BD3B41A047E17A97C22241406210D8D3BD3B41E0D0225BD4C2224140621098BABD3B41205A647B2BC22241E04F8DB756BD3B41400C026B14C2224100295C1749BD3B41
3183746	1100	Stores, One Story	7-ELEVEN INC	0106000020BC080000010000000103000000010000000E00000000D34DA24F92234120D9CE97104E3B4180976E925692234120D9CE37094E3B4100AAF1D2A492234120D9CE971B4E3B41E051B81EC7922341A01C5A24F44D3B4160E5D0A2DE922341E04F8D17D94D3B41403333B32493234100295C77884D3B41C0F75323DE92234100295CD7774D3B41C020B082FE91234140B4C856434D3B41C020B072CD912341803D0A77774D3B41600E2D329D91234100295CB7AA4D3B4100D34DE26E912341E04F8DF7DB4D3B41600E2D7240912341E04F8D570D4E3B4180976E922192234140621038424E3B4100D34DA24F92234120D9CE97104E3B41
3473299	1100	Stores, One Story	7-ELEVEN INC	0106000020BC080000010000000103000000010000000F000000C0A14576E6BC2341E051B85E9B253B4120DD248608BD2341E051B81E77253B41A01804962ABD2341C0C876FE52253B410054E3E539BD2341C0C8769E42253B41C0CAA10588BC2341803F355E12253B4120068115EEBB2341A018045EEE243B4180416075CFBB2341A01804BEF6243B41C0CAA1C5C6BB2341A01804BEFF243B41C0CAA145A4BB2341803F35DE23253B41C0CAA1C581BB2341803F35DE47253B41C0CAA1455FBB2341C0C876FE6B253B41608FC2750DBC2341E051B8BE94253B41C0CAA1851EBC2341C0C8769E82253B41608FC275D5BC2341E051B85EAD253B41C0A14576E6BC2341E051B85E9B253B41
3051696	1100	Stores, One Story	7-ELEVEN INC	0106000020BC080000010000000103000000010000001200000020583974726C2341E0FBA95188743B410054E365526C2341C020B0D280743B418016D94E046C23414033337392743B41E0A370BDF66B2341C0F7538395743B41C0490C82E56B2341E078E96699743B4100D34D22E56B2341007F6A7C99743B41E0CEF793846B234140B4C8F6F3743B41E0D0225B846B234160BA492CF4743B41809543CB0F6B234100022BA761753B41202FDD642B6B234160643B7F68753B4140B6F33D376B234100295C6F6B753B41205A64FB846B2341C0A145B67E753B4180976E92DE6B2341806891ED94753B4180C2F528386C23414008AC24AB753B4140DF4FDDD76C234100D7A37005753B41408941A0276D23418016D9AEB2743B41A0703D0ACD6C2341408941809D743B4120583974726C2341E0FBA95188743B41
7550539	1100	Stores, One Story	7-ELEVEN INC	0106000020BC080000010000000103000000010000000600000080BE9FDAB2B12341C020B05AB3B63A4100560EED2EAF234180976E32B1B63A412058393434AF234100AC1C7A5FB73A418068916D34AF2341A047E1DA66B73A41E0D0225BB8B12341A06E120369B73A4180BE9FDAB2B12341C020B05AB3B63A41
3821980	1100	Stores, One Story	7-ELEVEN INC	0106000020BC0800000100000001030000000100000007000000205A64FB47332541008195E304EF3941A047E17A34322541C0F753E3BEEE3941E0D0225B05322541C0F753E3ECEE3941E0D0225BD5312541008195E31AEF3941205A64BBE3322541400AD7E360EF394160E3A55B16332541008195E332EF3941205A64FB47332541008195E304EF3941
